GDP per capita (US$)
556.01
512.01
516.68
485.67
494.18
"3,690.90"
"3,571.95"
"6,432.69"
"6,387.68"
"6,587.09"
"6,967.38"
"7,612.04"
"3,316.66"
"3,706.33"
"3,978.68"
"4,156.31"
"4,652.35"
847.27
736.56
746.83
770.60
798.59
"2,124.66"
"2,187.73"
"2,638.33"
"3,096.56"
"3,661.46"
"38,663.39"
"38,141.88"
"40,644.79"
"43,839.32"
"42,701.44"
"45,404.57"
"41,499.56"
"40,857.76"
"43,646.95"
"43,070.50"
"56,762.73"
"57,866.74"
"59,914.78"
"62,805.25"
"65,094.80"
"15,613.75"
"16,715.63"
"18,690.89"
"18,703.86"
"17,688.02"
"2,753.97"
"2,704.68"
"1,916.76"
"1,597.07"
"1,784.01"
"2,695.67"
"2,805.67"
"3,082.54"
"3,125.44"
"3,122.98"
"2,581.62"
"2,745.57"
"2,974.12"
"3,230.93"
"3,425.09"
"10,231.70"
"10,286.41"
"10,825.90"
"11,366.07"
"11,407.48"
"1,338.29"
"1,280.81"
"1,535.20"
"1,516.37"
"1,305.00"
"1,445.07"
"1,464.59"
"1,235.19"
"1,254.64"
"1,316.74"
