Country Name,Code,Year,Deaths - Cause: Diarrheal diseases - Risk: Child growth failure - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: No access to handwashing facility - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Suboptimal breastfeeding - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe water source - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Zinc deficiency - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Low birth weight - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Short gestation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe sanitation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Vitamin A deficiency - Sex: Both - Age: Under 5 (Number),GDP per capita (US$)
Belize,BLZ,2016,3,1,1,4,0,0,0,2,0,"4,877.67"
Belize,BLZ,2017,3,1,1,4,0,0,0,1,0,"4,909.60"
Belize,BLZ,2018,2,1,1,3,0,0,0,1,0,"4,927.19"
Belize,BLZ,2019,2,1,1,3,0,0,0,1,0,"4,983.34"
Benin,BEN,2015,3017,1153,613,3022,13,129,95,2297,212,"1,076.80"
Benin,BEN,2016,3041,1162,608,3043,13,130,96,2310,205,"1,087.29"
Benin,BEN,2017,3047,1165,605,3050,13,132,98,2313,196,"1,136.59"
Benin,BEN,2018,2622,1004,526,2629,11,118,88,1991,166,"1,241.83"
Benin,BEN,2019,2428,932,494,2439,10,111,83,1844,152,"1,219.52"
Bermuda,BMU,2015,0,0,0,0,0,0,0,0,0,"102,005.63"
Bermuda,BMU,2016,0,0,0,0,0,0,0,0,0,"106,885.88"
Bermuda,BMU,2017,0,0,0,0,0,0,0,0,0,"111,820.58"
Bermuda,BMU,2018,0,0,0,0,0,0,0,0,0,"113,050.74"
Bermuda,BMU,2019,0,0,0,0,0,0,0,0,0,"116,153.17"
Bhutan,BTN,2015,11,1,3,10,0,1,1,8,0,"2,752.63"
Bhutan,BTN,2016,10,1,2,9,0,1,1,7,0,"2,930.57"
Bhutan,BTN,2017,9,1,2,8,0,1,1,6,0,"3,286.60"
Bhutan,BTN,2018,9,1,2,8,0,1,1,6,0,"3,243.48"
Bhutan,BTN,2019,8,1,2,7,0,1,0,5,0,"3,322.86"
Bolivia,BOL,2015,203,50,59,236,2,9,7,141,6,"3,035.97"
Bolivia,BOL,2016,190,45,54,216,1,9,6,120,5,"3,076.66"
Bolivia,BOL,2017,184,43,53,210,1,8,6,115,5,"3,351.12"
Bolivia,BOL,2018,172,40,49,195,1,8,6,104,4,"3,548.59"
Bolivia,BOL,2019,162,37,46,183,1,7,6,96,4,"3,552.07"
Bosnia and Herzegovina,BIH,2015,1,0,1,1,0,0,0,0,0,"4,729.69"
