Country Name,Code,Year,Deaths - Cause: Diarrheal diseases - Risk: Child growth failure - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: No access to handwashing facility - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Suboptimal breastfeeding - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe water source - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Zinc deficiency - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Low birth weight - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Short gestation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe sanitation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Vitamin A deficiency - Sex: Both - Age: Under 5 (Number),GDP per capita (US$)
Peru,PER,2018,161,48,51,235,1,9,6,158,4,"6,958.50"
Peru,PER,2019,160,47,51,232,1,9,6,154,3,"7,023.08"
Philippines,PHL,2015,3301,461,835,3208,29,73,38,1090,144,"3,001.04"
Philippines,PHL,2016,3087,424,776,3000,26,69,36,991,129,"3,073.65"
Philippines,PHL,2017,2887,389,727,2807,24,67,35,896,115,"3,123.25"
Philippines,PHL,2018,2588,341,653,2512,21,62,32,772,99,"3,252.11"
Philippines,PHL,2019,2393,309,603,2320,18,58,31,692,88,"3,485.34"
Poland,POL,2015,3,0,2,2,0,2,1,1,0,"12,578.50"
Poland,POL,2016,3,0,2,2,0,2,1,1,0,"12,447.44"
Poland,POL,2017,3,0,2,2,0,1,1,0,0,"13,864.68"
Poland,POL,2018,3,0,2,2,0,1,1,0,0,"15,468.48"
Poland,POL,2019,2,0,2,2,0,1,1,0,0,"15,732.20"
Portugal,PRT,2015,2,0,2,0,0,1,1,1,0,"19,250.11"
Portugal,PRT,2016,2,0,2,0,0,1,1,1,0,"19,991.97"
Portugal,PRT,2017,1,0,1,0,0,1,1,0,0,"21,490.43"
Portugal,PRT,2018,1,0,1,0,0,1,0,0,0,"23,562.55"
Portugal,PRT,2019,1,0,1,0,0,1,0,0,0,"23,330.82"
Puerto Rico,PRI,2015,3,0,1,3,0,0,0,0,0,"29,763.49"
Puerto Rico,PRI,2016,2,0,1,3,0,0,0,0,0,"30,627.16"
Puerto Rico,PRI,2017,2,0,1,2,0,0,0,0,0,"31,108.76"
Puerto Rico,PRI,2018,2,0,1,2,0,0,0,0,0,"31,604.70"
Puerto Rico,PRI,2019,2,0,1,2,0,0,0,0,0,"32,850.55"
Qatar,QAT,2015,2,0,1,1,0,0,0,0,0,"63,039.11"
Qatar,QAT,2016,2,0,1,1,0,0,0,0,0,"57,162.97"
Qatar,QAT,2017,2,0,1,1,0,0,0,0,0,"59,124.87"
Qatar,QAT,2018,1,0,1,1,0,0,0,0,0,"65,907.95"
Qatar,QAT,2019,1,0,1,1,0,0,0,0,0,"62,087.97"
Romania,ROU,2015,9,0,5,7,0,2,1,5,0,"8,969.15"
Romania,ROU,2016,9,0,5,7,0,2,1,4,0,"9,548.59"
Romania,ROU,2017,9,0,5,7,0,2,1,4,0,"10,807.01"
Romania,ROU,2018,8,0,5,6,0,2,1,4,0,"12,398.98"
Romania,ROU,2019,8,0,4,5,0,1,1,3,0,"12,899.35"
Rwanda,RWA,2015,1440,653,114,1638,15,63,55,1207,57,751.11
Rwanda,RWA,2016,1330,605,104,1518,13,61,54,1120,50,744.79
Rwanda,RWA,2017,1239,566,96,1417,12,59,53,1046,45,772.29
Rwanda,RWA,2018,1168,534,89,1336,11,55,50,987,41,783.81
Rwanda,RWA,2019,1051,481,81,1204,9,51,47,890,35,820.18
Samoa,WSM,2015,1,0,0,1,0,0,0,0,0,"4,073.73"
Samoa,WSM,2016,1,0,0,1,0,0,0,0,0,"4,109.66"
Samoa,WSM,2017,1,0,0,1,0,0,0,0,0,"4,258.98"
Samoa,WSM,2018,1,0,0,1,0,0,0,0,0,"4,187.50"
Samoa,WSM,2019,1,0,0,1,0,0,0,0,0,"4,322.87"
San Marino,SMR,2015,0,0,0,0,0,0,0,0,0,"42,662.90"
San Marino,SMR,2016,0,0,0,0,0,0,0,0,0,"43,828.23"
San Marino,SMR,2017,0,0,0,0,0,0,0,0,0,"45,399.03"
San Marino,SMR,2018,0,0,0,0,0,0,0,0,0,"48,996.59"
San Marino,SMR,2019,0,0,0,0,0,0,0,0,0,"47,727.13"
Sao Tome and Principe,STP,2015,3,1,1,3,0,0,0,2,0,"1,584.78"
Sao Tome and Principe,STP,2016,3,1,1,3,0,0,0,2,0,"1,700.10"
Sao Tome and Principe,STP,2017,3,1,0,3,0,0,0,2,0,"1,813.81"
Sao Tome and Principe,STP,2018,2,1,0,2,0,0,0,1,0,"1,953.51"
Sao Tome and Principe,STP,2019,2,1,0,2,0,0,0,1,0,"1,987.58"
Saudi Arabia,SAU,2015,49,5,14,33,0,2,2,5,0,"20,627.92"
Saudi Arabia,SAU,2016,46,4,13,30,0,2,2,5,0,"19,878.77"
Saudi Arabia,SAU,2017,42,4,12,27,0,2,1,4,0,"20,802.46"
Saudi Arabia,SAU,2018,39,4,11,25,0,2,1,3,0,"24,228.84"
Saudi Arabia,SAU,2019,36,3,11,23,0,1,1,3,0,"23,450.56"
Senegal,SEN,2015,3116,1128,643,3255,10,170,135,2303,93,"1,219.25"
Senegal,SEN,2016,3131,1131,634,3267,10,167,133,2321,90,"1,269.90"
Senegal,SEN,2017,2948,1065,595,3082,9,162,129,2195,81,"1,361.70"
Senegal,SEN,2018,2558,925,521,2680,8,146,117,1911,69,"1,458.08"
Senegal,SEN,2019,2297,831,480,2412,7,136,110,1721,60,"1,435.83"
Serbia,SRB,2015,2,0,1,1,0,0,0,0,0,"5,588.98"
Serbia,SRB,2016,2,0,1,1,0,0,0,0,0,"5,765.20"
Serbia,SRB,2017,2,0,1,1,0,0,0,0,0,"6,292.54"
Serbia,SRB,2018,2,0,1,1,0,0,0,0,0,"7,252.40"
Serbia,SRB,2019,1,0,1,1,0,0,0,0,0,"7,417.20"
Seychelles,SYC,2015,0,0,0,0,0,0,0,0,0,"15,157.50"
Seychelles,SYC,2016,0,0,0,0,0,0,0,0,0,"15,740.11"
Seychelles,SYC,2017,0,0,0,0,0,0,0,0,0,"16,416.73"
Seychelles,SYC,2018,0,0,0,0,0,0,0,0,0,"16,910.67"
Seychelles,SYC,2019,0,0,0,0,0,0,0,0,0,"17,252.02"
Sierra Leone,SLE,2015,1187,455,289,1235,16,43,33,906,72,588.23
Sierra Leone,SLE,2016,1160,444,268,1208,16,42,32,884,68,501.42
Sierra Leone,SLE,2017,1162,445,257,1210,16,41,31,884,66,496.68
Sierra Leone,SLE,2018,1078,413,239,1123,15,38,29,820,60,533.99
Sierra Leone,SLE,2019,1008,386,230,1051,13,36,28,766,55,521.75
Singapore,SGP,2015,1,0,0,0,0,0,0,0,0,"55,646.62"
Singapore,SGP,2016,1,0,0,0,0,0,0,0,0,"56,860.41"
Singapore,SGP,2017,0,0,0,0,0,0,0,0,0,"61,150.73"
Singapore,SGP,2018,0,0,0,0,0,0,0,0,0,"66,859.34"
Singapore,SGP,2019,0,0,0,0,0,0,0,0,0,"65,831.19"
Slovenia,SVN,2015,0,0,0,0,0,0,0,0,0,"20,890.17"
Slovenia,SVN,2016,0,0,0,0,0,0,0,0,0,"21,678.36"
Slovenia,SVN,2017,0,0,0,0,0,0,0,0,0,"23,514.03"
Slovenia,SVN,2018,0,0,0,0,0,0,0,0,0,"26,116.86"
Slovenia,SVN,2019,0,0,0,0,0,0,0,0,0,"25,942.95"
Solomon Islands,SLB,2015,39,5,7,42,1,3,2,33,3,"2,167.16"
Solomon Islands,SLB,2016,37,4,6,40,1,3,2,31,3,"2,225.48"
Solomon Islands,SLB,2017,35,4,6,38,1,3,2,30,3,"2,332.90"
Solomon Islands,SLB,2018,33,4,6,35,0,3,2,28,2,"2,411.90"
Solomon Islands,SLB,2019,30,3,5,32,0,3,2,25,2,"2,344.05"
Somalia,SOM,2015,7300,2877,2296,7582,64,413,433,5673,725,386.44
Somalia,SOM,2016,7835,3090,2469,8140,70,437,459,6095,777,389.82
Somalia,SOM,2017,7554,2993,2399,7887,68,435,460,5907,749,384.46
Somalia,SOM,2018,7581,3003,2372,7908,71,429,454,5927,751,389.83
Somalia,SOM,2019,7907,3125,2443,8235,76,436,459,6175,783,419.39
South Africa,ZAF,2015,3637,1083,1618,3268,4,163,153,1943,77,"6,259.84"
South Africa,ZAF,2016,3310,981,1455,2966,4,145,136,1743,68,"5,756.97"
South Africa,ZAF,2017,3185,941,1384,2852,4,141,133,1657,64,"6,690.94"
South Africa,ZAF,2018,3026,888,1303,2696,4,134,126,1544,60,"7,005.10"
South Africa,ZAF,2019,2883,841,1244,2557,4,129,122,1447,56,"6,624.76"
South Sudan,SSD,2015,3725,1462,761,3846,6,235,170,2925,166,"1,119.65"
Spain,ESP,2015,4,0,3,0,0,2,1,0,0,"25,742.37"
Spain,ESP,2016,4,0,3,0,0,2,1,0,0,"26,523.35"
Spain,ESP,2017,4,0,3,0,0,1,1,0,0,"28,170.17"
Spain,ESP,2018,3,0,3,0,0,1,1,0,0,"30,364.58"
Spain,ESP,2019,3,0,3,0,0,1,1,0,0,"29,554.49"
Sri Lanka,LKA,2015,28,3,4,25,0,2,1,14,0,"3,843.78"
Sri Lanka,LKA,2016,25,3,3,23,0,2,1,12,0,"3,886.29"
Sri Lanka,LKA,2017,24,2,3,21,0,2,1,11,0,"4,077.04"
Sri Lanka,LKA,2018,21,2,3,19,0,1,1,10,0,"4,059.21"
Sri Lanka,LKA,2019,19,2,3,17,0,1,1,8,0,"3,848.21"
Sudan,SDN,2015,6771,2355,1560,7099,125,835,475,5431,226,"2,184.54"
Sudan,SDN,2016,6228,2141,1435,6503,113,767,440,4972,195,"2,583.45"
Sudan,SDN,2017,6241,2109,1442,6456,110,740,429,4933,183,"3,178.31"
Sudan,SDN,2018,4918,1645,1134,5075,86,592,348,3876,138,773.51
Sudan,SDN,2019,4241,1403,993,4362,72,509,304,3328,115,755.33
Suriname,SUR,2015,7,2,4,9,0,1,1,3,0,"9,168.24"
Suriname,SUR,2016,7,2,4,8,0,1,1,3,0,"5,872.79"
Suriname,SUR,2017,7,2,4,8,0,1,1,3,0,"6,295.56"
Suriname,SUR,2018,7,1,4,8,0,1,1,3,0,"6,938.09"
Suriname,SUR,2019,6,1,4,7,0,1,1,2,0,"6,853.69"
Sweden,SWE,2015,1,0,1,0,0,0,0,0,0,"51,545.48"
Sweden,SWE,2016,1,0,1,0,0,0,0,0,0,"51,965.16"
Sweden,SWE,2017,1,0,1,0,0,0,0,0,0,"53,791.51"
Sweden,SWE,2018,1,0,0,0,0,0,0,0,0,"54,589.06"
Sweden,SWE,2019,1,0,0,0,0,0,0,0,0,"51,939.43"
Switzerland,CHE,2015,1,0,1,0,0,2,1,0,0,"84,776.14"
Switzerland,CHE,2016,1,0,1,0,0,1,1,0,0,"83,073.28"
Switzerland,CHE,2017,1,0,1,0,0,1,1,0,0,"83,352.09"
Switzerland,CHE,2018,1,0,1,0,0,1,1,0,0,"86,388.40"
Switzerland,CHE,2019,1,0,1,0,0,1,1,0,0,"85,334.52"
Tajikistan,TJK,2015,608,91,184,525,14,30,20,440,16,978.40
Tajikistan,TJK,2016,565,83,168,485,13,27,18,408,15,807.10
Tajikistan,TJK,2017,555,80,166,475,12,27,18,401,14,848.67
Tajikistan,TJK,2018,534,76,160,455,11,27,18,384,13,853.22
Tajikistan,TJK,2019,517,72,156,439,11,26,18,371,12,890.54
Tanzania,TZA,2015,3282,1499,662,3880,25,316,239,2818,135,947.93
Tanzania,TZA,2016,3254,1485,662,3841,23,303,231,2782,128,966.50
Tanzania,TZA,2017,3123,1425,644,3684,22,287,221,2659,115,"1,004.91"
Tanzania,TZA,2018,2624,1202,543,3103,18,244,189,2234,93,"1,042.84"
Tanzania,TZA,2019,2332,1073,497,2769,15,224,175,1991,79,"1,085.88"
Thailand,THA,2015,100,17,39,109,1,8,5,7,1,"5,840.05"
Thailand,THA,2016,97,16,38,106,1,8,5,6,1,"5,993.31"
Thailand,THA,2017,89,15,35,97,0,7,5,6,1,"6,593.82"
Thailand,THA,2018,82,13,32,89,0,6,4,5,1,"7,298.95"
Thailand,THA,2019,76,12,30,83,0,6,4,4,1,"7,814.38"
Togo,TGO,2015,4044,1713,733,4632,27,320,248,3296,207,570.91
Togo,TGO,2016,3902,1654,717,4474,26,306,238,3175,192,803.15
Togo,TGO,2017,3757,1596,696,4319,25,296,232,3056,178,830.75
Togo,TGO,2018,3369,1434,637,3881,22,268,211,2737,155,901.52
Togo,TGO,2019,3134,1335,600,3614,20,246,196,2541,140,893.35
Tonga,TON,2015,0,0,0,0,0,0,0,0,0,"4,336.24"
Tonga,TON,2016,0,0,0,0,0,0,0,0,0,"4,157.88"
Tonga,TON,2017,0,0,0,0,0,0,0,0,0,"4,513.43"
Tonga,TON,2018,0,0,0,0,0,0,0,0,0,"4,740.70"
Tonga,TON,2019,0,0,0,0,0,0,0,0,0,"4,903.01"
Trinidad and Tobago,TTO,2015,3,1,2,3,0,1,0,1,0,"18,383.54"
Trinidad and Tobago,TTO,2016,3,0,1,3,0,1,0,1,0,"16,241.41"
Trinidad and Tobago,TTO,2017,2,0,1,3,0,1,0,1,0,"16,747.91"
Trinidad and Tobago,TTO,2018,2,0,1,3,0,1,0,1,0,"17,139.19"
Trinidad and Tobago,TTO,2019,2,0,1,3,0,0,0,1,0,"17,123.12"
Tunisia,TUN,2015,11,2,5,11,0,2,1,5,0,"4,094.84"
Tunisia,TUN,2016,10,2,5,10,0,2,1,4,0,"3,924.35"
Tunisia,TUN,2017,10,1,4,10,0,1,1,4,0,"3,687.78"
Tunisia,TUN,2018,9,1,4,9,0,1,1,3,0,"3,690.90"
Tunisia,TUN,2019,8,1,4,8,0,1,1,3,0,"3,571.95"
Turkmenistan,TKM,2015,47,5,15,44,0,4,3,33,0,"6,432.69"
Turkmenistan,TKM,2016,46,5,15,42,0,4,3,33,0,"6,387.68"
Turkmenistan,TKM,2017,44,5,15,41,0,4,3,31,0,"6,587.09"
Turkmenistan,TKM,2018,42,5,14,39,0,3,3,29,0,"6,967.38"
Turkmenistan,TKM,2019,40,4,14,36,0,3,3,28,0,"7,612.04"
Tuvalu,TUV,2015,0,0,0,0,0,0,0,0,0,"3,316.66"
Tuvalu,TUV,2016,0,0,0,0,0,0,0,0,0,"3,706.33"
Tuvalu,TUV,2017,0,0,0,0,0,0,0,0,0,"3,978.68"
Tuvalu,TUV,2018,0,0,0,0,0,0,0,0,0,"4,156.31"
Tuvalu,TUV,2019,0,0,0,0,0,0,0,0,0,"4,652.35"
Uganda,UGA,2015,4917,2239,977,5888,41,389,306,4406,187,847.27
Uganda,UGA,2016,4658,2132,915,5602,39,381,302,4194,170,736.56
Uganda,UGA,2017,4004,1846,790,4852,32,354,283,3631,140,746.83
Uganda,UGA,2018,3599,1659,705,4362,28,318,255,3264,120,770.60
Uganda,UGA,2019,3100,1436,604,3773,24,283,228,2823,100,798.59
Ukraine,UKR,2015,13,1,7,10,0,1,1,7,0,"2,124.66"
Ukraine,UKR,2016,13,1,6,10,0,1,1,7,0,"2,187.73"
Ukraine,UKR,2017,12,1,6,9,0,1,1,7,0,"2,638.33"
Ukraine,UKR,2018,11,1,6,9,0,1,1,6,0,"3,096.56"
Ukraine,UKR,2019,10,1,5,8,0,1,1,6,0,"3,661.46"
United Arab Emirates,ARE,2015,2,0,1,1,0,1,0,0,0,"38,663.39"
United Arab Emirates,ARE,2016,2,0,1,1,0,0,0,0,0,"38,141.88"
United Arab Emirates,ARE,2017,2,0,1,1,0,0,0,0,0,"40,644.79"
United Arab Emirates,ARE,2018,2,0,0,1,0,0,0,0,0,"43,839.32"
United Arab Emirates,ARE,2019,1,0,0,1,0,0,0,0,0,"42,701.44"
United Kingdom,GBR,2015,5,0,3,0,0,1,1,0,0,"45,404.57"
United Kingdom,GBR,2016,5,0,3,0,0,1,1,0,0,"41,499.56"
United Kingdom,GBR,2017,5,0,3,0,0,1,1,0,0,"40,857.76"
United Kingdom,GBR,2018,5,0,3,0,0,1,1,0,0,"43,646.95"
United Kingdom,GBR,2019,4,0,3,0,0,1,1,0,0,"43,070.50"
United States,USA,2015,22,1,20,2,0,9,8,4,0,"56,762.73"
United States,USA,2016,23,1,20,2,0,9,8,4,0,"57,866.74"
United States,USA,2017,22,1,20,2,0,9,8,4,0,"59,914.78"
United States,USA,2018,21,1,19,2,0,8,7,4,0,"62,805.25"
United States,USA,2019,21,1,19,2,0,8,7,4,0,"65,094.80"
Uruguay,URY,2015,4,0,2,3,0,1,1,0,0,"15,613.75"
Uruguay,URY,2016,4,0,2,3,0,1,1,0,0,"16,715.63"
Uruguay,URY,2017,4,0,2,3,0,1,1,0,0,"18,690.89"
Uruguay,URY,2018,4,0,2,2,0,1,1,0,0,"18,703.86"
Uruguay,URY,2019,3,0,2,2,0,1,1,0,0,"17,688.02"
Uzbekistan,UZB,2015,103,11,42,81,0,10,8,83,1,"2,753.97"
Uzbekistan,UZB,2016,100,11,40,77,0,10,7,80,1,"2,704.68"
Uzbekistan,UZB,2017,93,10,38,72,0,10,7,74,1,"1,916.76"
Uzbekistan,UZB,2018,89,9,36,67,0,9,7,69,1,"1,597.07"
Uzbekistan,UZB,2019,84,8,35,63,0,9,7,65,1,"1,784.01"
Vanuatu,VUT,2015,9,2,2,10,0,1,0,7,1,"2,695.67"
Vanuatu,VUT,2016,9,2,2,11,0,1,0,8,1,"2,805.67"
Vanuatu,VUT,2017,9,2,2,11,0,1,0,8,1,"3,082.54"
Vanuatu,VUT,2018,9,2,2,10,0,1,0,7,1,"3,125.44"
Vanuatu,VUT,2019,8,2,2,9,0,0,0,7,1,"3,122.98"
Vietnam,VNM,2015,130,25,43,130,0,10,7,69,2,"2,581.62"
Vietnam,VNM,2016,120,23,39,120,0,9,7,62,2,"2,745.57"
Vietnam,VNM,2017,114,21,37,113,0,9,6,57,1,"2,974.12"
Vietnam,VNM,2018,103,18,33,102,0,8,6,50,1,"3,230.93"
Vietnam,VNM,2019,92,16,30,91,0,7,5,44,1,"3,425.09"
World,OWID_WRL,2015,509644,176633,125162,529745,4087,41784,29486,364645,21605,"10,231.70"
World,OWID_WRL,2016,484875,168557,117162,503162,3709,38471,27423,344054,19914,"10,286.41"
World,OWID_WRL,2017,470293,163444,112269,487667,3469,37085,26592,330794,18656,"10,825.90"
World,OWID_WRL,2018,432618,150459,102802,448034,3072,33791,24401,301371,16821,"11,366.07"
World,OWID_WRL,2019,405102,140769,96610,419222,2806,31383,22805,279618,15515,"11,407.48"
Zambia,ZMB,2015,3525,1460,651,3864,22,228,189,2778,154,"1,338.29"
Zambia,ZMB,2016,3549,1469,679,3887,21,229,191,2774,146,"1,280.81"
Zambia,ZMB,2017,3533,1460,700,3866,20,227,190,2736,137,"1,535.20"
Zambia,ZMB,2018,3081,1272,626,3371,17,199,168,2367,115,"1,516.37"
Zambia,ZMB,2019,2810,1161,578,3077,15,182,155,2148,102,"1,305.00"
Zimbabwe,ZWE,2015,949,415,326,1140,5,64,57,759,62,"1,445.07"
Zimbabwe,ZWE,2016,904,396,305,1088,5,59,53,719,57,"1,464.59"
Zimbabwe,ZWE,2017,875,383,295,1054,5,58,52,692,53,"1,235.19"
Zimbabwe,ZWE,2018,794,348,269,957,4,53,48,624,47,"1,254.64"
Zimbabwe,ZWE,2019,744,326,255,898,4,50,45,582,43,"1,316.74"
