Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,,Mean
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4177.889542,3946.452447,4109.698217,4142.018558,3989.668276,,4073.145408
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,3520.766449,3759.560246,4009.380987,4384.048892,4416.108358,,4017.972986
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3607.289299,3591.828052,3914.527854,4220.540321,4604.646324,,3987.76637
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,3316.664522,3706.329903,3978.676452,4156.305128,4652.350846,,3962.06537
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,3875.321675,3658.3903,3687.100003,4156.84697,4404.84583,,3956.500956
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3843.780672,3886.291502,4077.043841,4059.20823,3848.212376,,3942.907324
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,3705.579704,3805.995686,3910.254403,4052.624775,4167.730939,,3928.437101
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3680.349473,3425.531957,3914.418484,4107.094431,3889.851226,,3803.449114
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,4094.841602,3924.349092,3687.780316,3690.896932,3571.945048,,3793.962598
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,3939.384091,3968.09362,3867.06706,3605.440104,3573.155702,,3790.628115
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,3931.556278,3962.898791,3864.148677,3604.925763,3574.162674,,3787.538436
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3331.695115,3562.816334,3837.578024,3893.859578,4135.233344,,3752.236479
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3199.886846,3490.998389,3672.576783,3793.550983,4073.10983,,3646.024566
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,2732.46073,2880.43529,3509.686829,4230.626969,4492.10574,,3569.063111
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,3272.154324,3527.613824,3620.360487,3562.330943,3656.858271,,3527.86357
Early-demographic dividend,EAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3244.237034,3303.710575,3521.381645,3509.754222,3538.833413,,3423.583378
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3043.031382,3131.017598,3292.633503,3616.460666,3603.775241,,3337.383678
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3035.971655,3076.656439,3351.124344,3548.59078,3552.068144,,3312.882273
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,2906.617012,3014.700358,3289.642117,3568.291016,3624.249092,,3280.699919
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3001.043182,3073.654686,3123.245642,3252.110274,3485.340844,,3187.078925
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2752.630172,2930.574923,3286.596744,3243.477437,3322.863329,,3107.228521
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,2875.258057,2896.722168,3035.454346,3226.98291,3235.000732,,3053.883643
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3562.932658,3519.87324,2444.290387,2537.125185,3019.092283,,3016.662751
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,2581.622442,2745.565588,2974.117229,3230.927713,3425.089253,,2991.464445
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,2695.666186,2805.66532,3082.540055,3125.436014,3122.982599,,2966.458035
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2652.513228,2803.689125,2926.153304,3038.269738,3172.750685,,2918.675216
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,2124.662354,2187.730469,2638.326172,3096.561768,3661.456299,,2741.747412
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2679.346579,2509.629637,2695.249009,2801.371393,2820.306397,,2701.180603
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2302.204411,2342.584904,2453.727115,2510.322943,2574.356751,,2436.639225
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2140.044323,2324.400917,2455.211559,2569.093892,2613.944427,,2420.539024
